Итог привязки Price к категориям Satu
Время сборки (Алматы)                      | 2026-04-12 19:22:44
Источник категорий Satu                    | Satu.kz_categories_11_04_2026.xls
Сколько категорий Satu в реестре           | 5801
Сколько категорий всего                    | 48
Сколько рабочих подкатегорий               | 40
Сколько подкатегорий привязано к Satu      | 40
Сколько товаров получили категорию Satu по умолчанию | 7318
Сколько товаров получили отдельную категорию Satu   | 0
Сколько товаров без категории Satu         | 0
Статус привязки к категориям Satu          | УСПЕШНО
